scorer,,,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah
bodyparts,,,LFL,LFL,RFL,RFL,N,N,CH,CH
coords,,,x,y,x,y,x,y,x,y
labeled-data,2,frame0_0.jpg,,,,,89.65131741189097,16.350877831480506,68.83552678455689,28.245615332814275
labeled-data,2,frame0_1.jpg,164.98465492033822,51.043862210370676,168.9495674207828,58.478073148704276,69.82675490966804,29.732457520481,90.64254553700212,35.184212208592314
labeled-data,2,frame100_0.jpg,130.29167054144804,75.82456533814937,166.9671111705605,97.63158409059461,95.59868616255787,12.88157939359149,,
labeled-data,2,frame100_1.jpg,77.75657991055724,26.758773145147558,105.51096741366936,27.750001270258707,,,,
labeled-data,2,frame100_2.jpg,,,,,65.86184240922344,28.74122939536985,81.22587834844623,45.096493459703794
labeled-data,2,frame120_0.jpg,,,131.2828986665592,100.60526846592806,89.15570334933543,17.837720019147227,94.60745803744672,34.192984083481164
labeled-data,2,frame120_1.jpg,,,103.03289710089146,64.42544189937118,,,,
labeled-data,2,frame120_2.jpg,168.4539533582272,39.149124709036904,129.7960564788925,24.28070283236969,71.80921115989034,39.644738771592486,95.59868616255787,51.043862210370676
labeled-data,2,frame140_0.jpg,184.3136033600056,70.86842471259364,171.92325179611626,47.57456377248166,71.80921115989034,24.28070283236969,91.63377366211327,33.69737002092559
labeled-data,2,frame140_1.jpg,,,40.08991115633361,73.84210908792708,85.19079084889083,20.315790331925097,,
labeled-data,2,frame160_0.jpg,15.309208028554934,54.5131606482597,,,107.49342366389166,17.342105956591652,,
labeled-data,2,frame160_1.jpg,179.35746273444985,68.39035439981576,171.92325179611626,47.57456377248166,88.16447522422428,18.3333340817028,107.49342366389166,36.67105439625904
labeled-data,2,frame180_0.jpg,8.866225215332463,46.08772158481494,,,120.37938929033655,18.3333340817028,96.58991428766902,30.72368564559215
labeled-data,2,frame180_1.jpg,101.05044085066916,54.017546585704125,95.59868616255787,28.245615332814275,25.717103342221975,29.236843457925424,40.08991115633361,41.62719502181477
labeled-data,2,frame180_2.jpg,,,119.883775227781,63.929827836815605,60.41008772111215,15.359649706369362,,
labeled-data,2,frame200_0.jpg,32.65570021800002,39.14912470903691,10.353067402999187,81.77193408881625,141.19517991767069,22.793860644702967,119.883775227781,28.74122939536985
labeled-data,2,frame200_1.jpg,,,112.94517835200296,61.947371586593306,56.44517522066755,19.32456220681395,,
labeled-data,2,frame200_2.jpg,119.3881611652254,57.98245908614872,113.44079241455856,42.61842314692592,38.107454906111315,31.714913770703298,55.949561158111976,42.61842314692592
labeled-data,2,frame20_0.jpg,,,,,97.58114241278017,20.81140439448067,75.77412366033494,35.67982627114789
labeled-data,2,frame20_2.jpg,,,127.3179861661146,79.78947783859397,65.86184240922344,35.67982627114789,,
labeled-data,2,frame220_0.jpg,19.76973459155508,75.82456533814937,72.30482522244591,36.17544033370346,,,,
labeled-data,2,frame220_1.jpg,149.12500491855982,49.06140596014838,125.8311439784479,40.14035283414806,55.4539470955564,32.70614189581444,71.80921115989034,52.5307043980374
labeled-data,2,frame220_2.jpg,,,,,45.541665844444935,24.77631689492526,63.87938615900114,42.122809084370346
labeled-data,2,frame240_0.jpg,158.04605804456017,54.017546585704125,138.71710960489278,45.59210752225937,67.84429865944574,34.68859814603674,82.71272053611295,51.043862210370676
labeled-data,2,frame240_1.jpg,108.98026585155836,32.21052783325888,40.58552521888919,61.947371586593306,,,,
labeled-data,2,frame240_2.jpg,,,,,48.01973615722281,34.192984083481164,,
labeled-data,2,frame260_0.jpg,180.84430492211655,44.60087939714821,151.10746116878212,58.47807314870428,82.71272053611295,34.68859814603674,105.01535335111376,55.008774710815274
labeled-data,2,frame260_1.jpg,166.9671111705605,51.043862210370676,151.10746116878212,44.105265334592644,69.82675490966804,30.228071583036574,82.71272053611295,37.16666845881461
labeled-data,2,frame260_2.jpg,,,,,57.932017408334275,20.81140439448067,,
labeled-data,2,frame280_0.jpg,199.6776392992284,56.49561689848199,217.51974555122902,63.9298278368156,83.7039486612241,28.245615332814275,109.47587991411396,36.17544033370346
labeled-data,2,frame280_1.jpg,179.35746273444985,49.557020022703945,178.86184867189425,55.50438877337084,65.36622834666787,23.785088769814116,87.6688611616687,33.201755958370015
labeled-data,2,frame280_2.jpg,,,,,55.949561158111976,21.307018457036243,,
labeled-data,2,frame300_0.jpg,148.13377679344867,80.28509190114954,187.28728773533905,94.65789971526118,87.6688611616687,22.793860644702967,105.51096741366936,34.68859814603674
labeled-data,2,frame300_1.jpg,168.9495674207828,52.03509033548182,155.07237366922672,40.14035283414806,68.83552678455689,30.228071583036574,85.6864049114464,34.192984083481164
labeled-data,2,frame300_2.jpg,,,,,59.914473658556574,16.84649189403608,70.81798303477919,32.21052783325888
labeled-data,2,frame320_0.jpg,177.8706205467831,50.05263408525952,143.17763616789298,40.14035283414806,76.76535178544609,39.14912470903691,97.08552835022462,52.035090335481826
labeled-data,2,frame320_1.jpg,,,170.9320236710051,103.57895284126151,88.16447522422428,23.28947470725854,,
labeled-data,2,frame340_0.jpg,188.77412992300575,54.51316064825969,173.90570804633856,51.04386221037067,83.7039486612241,38.15789658392576,98.07675647533577,48.07017783503724
labeled-data,2,frame340_1.jpg,137.72588147978163,84.7456184641497,169.94079554589396,106.05702315403937,,,,
labeled-data,2,frame360_0.jpg,,,192.73904242345034,52.03509033548182,81.7214924110018,40.14035283414806,98.07675647533577,48.07017783503724
labeled-data,2,frame360_1.jpg,,,168.9495674207828,102.09211065359479,91.63377366211327,35.67982627114789,,
labeled-data,2,frame380_0.jpg,198.68641117411724,68.88596846237134,195.7127267987838,50.05263408525952,84.69517678633525,36.17544033370346,98.07675647533577,48.07017783503724
labeled-data,2,frame380_1.jpg,,,168.9495674207828,104.07456690381709,,,,
labeled-data,2,frame400_0.jpg,196.70395492389494,59.964915336371,192.73904242345034,50.05263408525952,79.7390361607795,36.17544033370346,98.07675647533577,48.07017783503724
labeled-data,2,frame400_1.jpg,139.2127236674484,92.1798294024833,166.4714971080049,105.06579502892824,,,,
labeled-data,2,frame40_0.jpg,,,,,105.51096741366936,20.315790331925097,83.7039486612241,34.68859814603674
labeled-data,2,frame40_2.jpg,,,114.92763460222525,73.84210908792708,60.90570178366772,30.228071583036574,,
labeled-data,2,frame60_0.jpg,151.10746116878212,68.39035439981576,,,72.30482522244591,19.32456220681395,86.67763303655755,40.14035283414806
labeled-data,2,frame60_1.jpg,12.83113771577706,74.83333721303822,20.265348654110653,58.97368721125986,130.29167054144804,26.263159082591983,112.44956428944741,40.14035283414806
labeled-data,2,frame60_2.jpg,25.2214892796664,92.1798294024833,,,,,,
labeled-data,2,frame80_0.jpg,135.2478111670038,73.84210908792708,172.9144799212274,93.17105752759446,91.63377366211327,12.385965331035916,105.51096741366936,41.131580959259196
labeled-data,2,frame80_1.jpg,32.160086155444446,29.732457520481,55.949561158111976,32.21052783325888,106.50219553878051,30.228071583036574,88.66008928677982,52.5307043980374
labeled-data,2,frame80_2.jpg,21.256576779221803,85.73684658926085,,,,,,
