scorer,,,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah
bodyparts,,,LFL,LFL,RFL,RFL,N,N,CH,CH,B,B
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,4,frame0_0.jpg,12.546052177396206,69.89474046967824,34.60307080530734,70.3640387383572,115.3223730180886,22.964913601782175,92.79605612149848,37.51315993082996,61.82237038868706,227.57895874580902
labeled-data,4,frame0_1.jpg,8.322367759285555,42.67544088629852,31.317982924554627,48.30702011044605,122.83114531695193,14.04824649688192,108.75219725658314,22.02631706442425,51.02851020907096,234.61843277599343
labeled-data,4,frame0_2.jpg,94.67324919621433,21.08772052706633,94.67324919621433,21.08772052706633,52.43640501510785,21.08772052706633,,,57.12938770189746,220.07018644694566
labeled-data,4,frame100_0.jpg,9.260964296643465,46.89912530440917,38.357456954739035,34.697370318756185,121.4232505109151,20.14912398970841,109.69079379394105,29.53508936328762,53.37500155246576,229.45615182052487
labeled-data,4,frame100_2.jpg,19.585526207580614,63.32456470817279,42.11184310417073,58.63158202138318,63.69956346340291,20.14912398970841,57.12938770189746,31.881580706682424,75.43202018037692,183.93421975866568
labeled-data,4,frame120_0.jpg,173.04606006560076,43.61403742365644,164.59869122937945,31.881580706682424,68.86184441887147,23.903510139140092,81.06359940452447,28.596492825929705,131.74781242185222,241.65790680617786
labeled-data,4,frame120_1.jpg,12.076753908717222,54.8771958719515,27.094298506443977,53.00000279723565,122.361847048273,19.210527452350487,112.9758816746938,28.127194557250743,63.230265194723955,250.10527564239916
labeled-data,4,frame120_2.jpg,,,,,66.51535307547667,16.864036108955684,57.12938770189746,23.903510139140092,25.21710543172813,212.5614141480823
labeled-data,4,frame120_3.jpg,,,,,54.782896358502654,21.08772052706633,,,57.12938770189746,177.8333422658392
labeled-data,4,frame140_0.jpg,177.26974448371138,40.798247811582684,159.90570854258985,30.004387631966583,76.83991498641382,24.372808407819054,86.22588035999303,30.473685900645545,120.95395224223611,226.17106393977215
labeled-data,4,frame140_1.jpg,15.831140058148918,41.26754608026164,22.40131581965437,37.51315993082996,119.0767591675203,17.802632646313608,107.8136007192252,24.842106676498016,56.6600894332185,240.71931026881992
labeled-data,4,frame140_3.jpg,,,,,,,,,8.322367759285555,211.62281761072435
labeled-data,4,frame160_0.jpg,169.76097218484804,38.921054736866836,150.05044490033166,33.28947551271931,72.14693229962421,26.719299751213857,81.53289767320342,33.758773781398276,127.52412800374154,251.04387217975707
labeled-data,4,frame160_1.jpg,17.708333132864766,48.776317484009596,14.892543520791008,62.38596727569946,115.79167128676755,22.964912706666762,106.40570591318834,29.535088468172216,60.88377385132915,239.7807128363466
labeled-data,4,frame160_2.jpg,51.49780847774994,23.434210975345724,10.199560834001403,25.780702318740527,,,,,31.317982924554627,211.15351844693
labeled-data,4,frame180_0.jpg,191.34869254408025,52.53070363344128,185.71711331993268,48.776317484009596,81.53289767320342,22.02631616930884,93.26535439017744,30.473685005530132,140.66447952675244,243.5350989857783
labeled-data,4,frame180_1.jpg,17.23903486418581,51.59210709608337,18.646929670222704,42.20614172250416,115.79167128676755,20.149123094592998,102.65131976375665,28.12719366213533,58.53728250793435,221.94737862654608
labeled-data,4,frame180_2.jpg,,,,,,,,,5.9758764158907525,185.8114119382661
labeled-data,4,frame200_0.jpg,16.769736595506856,57.69298458890985,17.708333132864766,45.021931334577914,110.16009206262004,21.557017900629884,98.42763534564602,29.535088468172216,59.47587904529229,224.76316823861984
labeled-data,4,frame200_1.jpg,190.41009600672228,37.04386076703558,194.16448215615398,48.30701921533064,81.06359940452447,22.4956144379878,94.20395092753537,30.473685005530132,143.0109708701473,236.9649232242728
labeled-data,4,frame200_2.jpg,18.646929670222704,25.780702318740527,,,43.98903617888658,17.333333482519233,37.418860417381126,22.4956144379878,17.708333132864766,232.7412388061622
labeled-data,4,frame20_0.jpg,10.199560834001403,45.49123049837229,30.848684655875672,51.12280972251982,126.58553146638363,13.578948228202961,113.9144782120517,23.434211870461137,53.844299821144745,251.04387217975707
labeled-data,4,frame20_1.jpg,15.361841789469963,69.42544220099927,39.76535176077593,66.14035432024656,102.18202149507769,21.08772052706633,91.38816131546159,37.51315993082996,59.006580776613305,227.57895874580902
labeled-data,4,frame20_2.jpg,143.48026913882623,38.45175646818788,124.70833839166781,31.41228243800347,59.006580776613305,15.456141302918802,70.26973922490836,27.65789628857178,93.73465265885639,213.5000106854402
labeled-data,4,frame220_0.jpg,193.69518388747505,38.92105384175143,192.7565873501171,47.36842267797272,82.47149421056136,22.964912706666762,94.20395092753537,31.412281542888056,149.11184836297375,245.4122920604941
labeled-data,4,frame220_1.jpg,21.46271928229646,55.815791514194004,18.17763140154372,48.776317484009596,105.93640764450939,23.903509244024686,97.48903880828809,30.00438673685117,57.12938770189746,217.25439593975648
labeled-data,4,frame220_2.jpg,,,,,,,,,13.484648714754115,219.13158901447233
labeled-data,4,frame240_0.jpg,186.18641158861166,48.30701921533064,199.7960613803015,45.49122960325687,85.75658209131407,23.903509244024686,96.08114400225122,30.473685005530132,152.86623451240544,251.5131695533206
labeled-data,4,frame240_1.jpg,12.07675390871725,42.20614172250416,17.23903486418581,42.67543999118311,99.83553015168289,19.679824825914036,91.85745958414057,26.71929885609845,60.4144755826502,228.51755438805154
labeled-data,4,frame240_2.jpg,77.30921325509277,28.12719366213533,29.44078984983878,28.12719366213533,,,,,43.519737910207624,228.9868526567305
labeled-data,4,frame260_0.jpg,24.27850889437022,22.02631616930884,5.506578147211798,27.657895393456368,98.89693361432498,16.394736945161316,89.04166997206679,22.4956144379878,32.256579461912565,213.03071152164583
labeled-data,4,frame260_1.jpg,16.769736595506856,47.83772094665167,11.138157371359313,45.021931334577914,99.36623188300393,20.61842136327196,88.57237170338783,30.473685005530132,56.19079116453955,223.35527343258298
labeled-data,4,frame260_2.jpg,178.20834102106934,45.49122960325687,192.28728908143816,44.552633065898945,82.94079247924032,19.21052655723508,92.79605612149848,26.25000058741949,150.98904143768962,239.7807128363466
labeled-data,4,frame280_0.jpg,179.14693755842725,46.42982614061479,192.28728908143816,42.67543999118311,83.87938901659822,24.37280751270365,94.67324919621433,32.82017634892493,150.0504449003317,254.79825743407332
labeled-data,4,frame280_1.jpg,55.25219462718164,26.25000058741949,10.199560834001403,29.535088468172216,97.95833707696704,18.271930019877157,89.04166997206679,20.61842136327196,48.682018865676184,216.31579940239857
labeled-data,4,frame280_2.jpg,22.870614088333355,47.83772094665167,13.01535044607516,47.83772094665167,97.95833707696704,17.802631751198195,88.10307343470888,26.25000058741949,53.37500155246579,213.5000097903248
labeled-data,4,frame300_0.jpg,171.16886699088494,42.67543999118311,189.47149946936437,40.32894864778831,81.53289767320342,23.434210975345724,96.08114400225122,30.00438673685117,149.58114663165273,242.59650244842038
labeled-data,4,frame300_1.jpg,62.291668657366046,22.964912706666762,15.361841789469963,23.434210975345724,,,,,47.743422328318246,208.33772883485622
